model,x,y,weight,timestamp
SUV,-0.1,-0.5,1.0,20251018_151636
SUV,-0.15,1.8,5.0,20251018_151636
SUV,0.8,2.3,1.8,20251018_151636
SUV,2.8,2.7,4.4,20251018_151636
SUV,4.4,4.2,10.0,20251018_151636
SUV,7.0,4.45,6.0,20251018_151636
SUV,9.7,4.0,15.0,20251018_151636
SUV,9.35,3.4,18.5,20251018_151636
SUV,10.0,2.4,28.8,20251018_151636
SUV,10.0,0.2,28.8,20251018_151636
SUV,9.8,-0.6,22.5,20251018_151636
SUV,9.2,-0.5,10.0,20251018_151636
